,d
0,0.6412006899211208
1,0.6401980385475411
2,0.6429456562005199
3,0.645001649762674
4,0.6440373393090804
5,0.6451266273804288
6,0.6468660536836482
7,0.6450699567855737
8,0.6434761181919227
9,0.6455007936410752
10,0.6481734430215353
11,0.6523121821749446
12,0.6535576598633873
13,0.6530853925688396
14,0.6520129473795938
15,0.6509609048172924
16,0.6506150301715672
17,0.6533515925340311
18,0.6533093080099605
19,0.6548107188623701
20,0.6566105405505729
21,0.6552664757013218
22,0.6554487248715237
23,0.6563108538628006
24,0.656628186724451
25,0.6578823875018005
26,0.6601507216171905
27,0.6642456390490797
28,0.663880267197869
29,0.6665595950947689
30,0.6689665948395888
31,0.6685699307888003
32,0.6697500653260612
33,0.6690452750020776
34,0.669409521372176
35,0.6688539407891386
36,0.669540040432477
37,0.6711551922953
38,0.6728420313080061
39,0.6727580839791875
40,0.6722803311046844
41,0.6734800116383544
42,0.6743976753942732
43,0.6737794791625955
44,0.6764950605568495
45,0.6756039503373078
46,0.6758203007806046
47,0.6758299148352034
48,0.6762558859598456
49,0.6755070200556592
50,0.6752258438303459
51,0.677458929463257
52,0.6787276292614297
53,0.6815738699454784
54,0.6799338351076024
55,0.6805169952168968
56,0.6832001385369605
57,0.6864897857212612
58,0.6861557132826378
59,0.686594854838028
60,0.6862495574947587
61,0.6884465514058995
62,0.6934104926586557
63,0.6960866082633994
64,0.6969528617418117
65,0.6962114785305342
66,0.6993005397693575
67,0.7023094586591403
68,0.7019785821223112
69,0.7013619810499726
70,0.7010516335696044
71,0.7037144272354381
72,0.7060346132561919
73,0.7067423078718746
74,0.7082854016366543
75,0.7097543034518191
76,0.7123322717387621
77,0.7135811967119177
78,0.7158335018319606
79,0.7176281755970626
80,0.7191524904864472
81,0.7205742352780359
82,0.7220333072303184
83,0.7265264488847505
84,0.7292719128718096
85,0.7303338795061135
86,0.7331282035403139
87,0.738344665647136
88,0.7402485079247214
89,0.7409212528297703
90,0.7401546868830372
91,0.7398450348687051
92,0.7435481508020536
93,0.7500797903596602
94,0.750575784088409
95,0.7515491548240729
96,0.7541743715519862
97,0.756194300944931
98,0.7593633672321677
99,0.765040994639465
100,0.7659804169501776
101,0.7689918238883263
102,0.7728113951459042
103,0.7762988723792467
104,0.780589636009058
105,0.7818010536317364
106,0.7840653761470053
107,0.7874341422163139
108,0.7882919698141562
109,0.7930255631499914
110,0.7989507303604054
111,0.8010642949088591
112,0.8012041866427191
113,0.8065941054502809
114,0.8119281184169754
115,0.8146554215044839
116,0.8143902099377582
117,0.8187737164970679
118,0.8237324587812089
119,0.8245795362075204
120,0.8243213687268133
121,0.8303182525062005
122,0.834120538384755
123,0.8357866968367038
124,0.8377027928101208
125,0.842234706729513
126,0.8437492776706284
127,0.843416845973404
128,0.8419040798667184
129,0.8453355574628402
130,0.8476744187093265
131,0.850009738414417
132,0.8521979576171949
133,0.8533319371842829
134,0.8560612034405075
135,0.8589155809402065
136,0.860248688163814
137,0.8622802642083593
138,0.8662202966888536
139,0.8644123664983917
140,0.8634398071301903
141,0.8673388186930479
142,0.8693296649055209
143,0.8691292218737022
144,0.8696266145439926
145,0.8736666383667647
146,0.872578141567862
147,0.868150278559283
148,0.8725054335071883
149,0.8693049842439793
150,0.8690848280078062
151,0.8696769804006129
152,0.8651972876867002
153,0.8655346172560211
154,0.8650785801690026
155,0.864977946418444
156,0.8619014961481706
157,0.8617955845080689
158,0.8595927693795861
159,0.8575468405930399
160,0.8586070731783244
161,0.8590822428832529
162,0.8610590440888074
163,0.8581048891149727
164,0.8551725812747099
165,0.8543604847023004
166,0.849950401547772
167,0.8488390392871604
168,0.8488755074622253
169,0.8488779404232837
170,0.8481362227060326
171,0.8481027376941844
172,0.849173659844609
173,0.8475499248788473
174,0.8472547486816249
175,0.8489135188864205
176,0.8502233438021369
177,0.8509835493406469
178,0.8497247002600269
179,0.8491805529658195
180,0.8501884558462812
181,0.8552067939175289
182,0.8562121074661481
183,0.8560267063878306
184,0.860189611341985
185,0.8606311595384607
186,0.860626906309908
187,0.862934556523596
188,0.8690637807751321
189,0.8711758735074194
190,0.8746371610054163
191,0.877475211386654
192,0.8773689083502709
193,0.881676995199592
194,0.8865580904696807
195,0.8884447955693916
196,0.8897574394245394
197,0.8936612918814563
198,0.8993395919745997
199,0.9019939080567112
200,0.9083829367983044
201,0.912208319717726
202,0.9148553116869257
203,0.9179141009880629
204,0.9217190957974825
205,0.9240778754665004
206,0.9271467487559218
207,0.9298409488157242
208,0.9339933910121978
209,0.9363458371435465
210,0.9362710120557751
211,0.9405147687090162
212,0.9415670337880797
213,0.9436093621550509
214,0.9463728252504467
215,0.9521148226643672
216,0.9561894536063653
217,0.9582685214661708
218,0.9591935887399563
219,0.963725122298377
220,0.9668625903784929
221,0.9693154084972884
222,0.9682618408998909
223,0.9728131655498269
224,0.9761818855717035
225,0.9752393211243373
226,0.9752507229413324
227,0.9776837557967675
228,0.9833397882004602
229,0.9870770852498356
230,0.9860744897961568
231,0.9911019929036597
232,0.9913264847447282
233,0.995556959201032
234,0.9970724050725984
235,0.9993059966780254
236,1.0026630999092339
237,1.004770288662786
238,1.005014260087062
239,1.0085738392329695
240,1.0096825794595006
241,1.0119641669118897
242,1.012016119046123
243,1.0160843557966663
244,1.0197829041657984
245,1.0205763371277776
246,1.0245839792849933
247,1.027556736901696
248,1.0255398599960535
249,1.0277142140645579
250,1.027890990214631
251,1.028883331045573
252,1.0291526937338566
253,1.0319428365218726
254,1.0349779170665478
255,1.0402380976973222
256,1.0434629696997486
257,1.0433494385351798
258,1.0449927512076695
259,1.047936674651894
260,1.0467150296000531
261,1.0490350828397814
262,1.0484560542768528
263,1.0496717872089083
264,1.0521899086693507
265,1.0552730079628574
266,1.0580643003093007
267,1.0610090635089995
268,1.063037051156661
269,1.061979422071763
270,1.0645986291287999
271,1.0644052770929409
272,1.0657699863189107
273,1.0667817817058427
274,1.066564758675354
275,1.067003716471262
276,1.068792626930324
277,1.0699818956662823
278,1.0685402815289637
279,1.069549723468026
280,1.067681669440431
281,1.0649446265319913
282,1.063779885900183
283,1.0666692392950288
284,1.0676296998383716
285,1.0673164774867385
286,1.0648681274269773
287,1.061261036819022
288,1.0622558330715532
289,1.0646247637971737
290,1.064145640283932
291,1.060157458831865
292,1.052686771346112
293,1.050930997540007
294,1.0505767255808807
295,1.0501234511392805
296,1.0520374063946663
297,1.0495274055089212
298,1.0500935365637234
299,1.0436800607481227
300,1.0398435194532216
301,1.0353931236519582
302,1.0330444414414586
303,1.0319962713833821
304,1.0285564753969723
305,1.0259840261686826
306,1.0255386009806489
307,1.0219100241506134
308,1.0202654031074336
309,1.0157467780578278
310,1.0134900397629751
311,1.0111942190987009
312,1.008268253650103
313,1.0060380757794316
314,1.0041665667371464
315,0.9999730958438157
316,0.9964893253211872
317,0.994121916940952
318,0.9900602398809245
319,0.9848423008630482
320,0.9825020113297108
321,0.9805417010319547
322,0.9767872949349048
323,0.9737075949924867
324,0.9740582028157737
325,0.9722289247493904
326,0.9693675483623772
327,0.9619761982982814
328,0.9603857148460766
329,0.9618257728515851
330,0.9600842328561802
331,0.9500948177438931
332,0.9462079908759702
333,0.9445965365562564
334,0.9412277865591631
335,0.9372580540409924
336,0.9360201836025641
337,0.9366024616077246
338,0.9343401368163256
339,0.9285833001644264
340,0.925850912350256
341,0.9251145477796613
342,0.9217663888714506
343,0.9198206313238602
344,0.9194530174116463
345,0.9163447142740676
346,0.9147613061864416
347,0.9102981920865122
348,0.910459084353186
349,0.9093577564437282
350,0.9070642562602156
351,0.9018948705310231
352,0.898468597101596
353,0.895396485305254
354,0.891226598466912
355,0.8891896110570177
356,0.8880640952124982
357,0.8834728002850535
358,0.8813134664646356
359,0.8776513757517215
360,0.8749052029262059
361,0.8718791239736541
362,0.8702588437610735
363,0.8677590575406336
364,0.8653639434699996
365,0.8622183437770192
366,0.8583936446454756
367,0.8552263304303713
368,0.8553206696457476
369,0.851817586290048
370,0.8464597273674398
371,0.8420989340270654
372,0.8396914679384267
373,0.8387007722221008
374,0.8376324429295207
375,0.8366660939618638
376,0.8314930919455842
377,0.8314760394226761
378,0.8319091856330423
379,0.8307563139126259
380,0.8237793201755859
381,0.8220494497948262
382,0.81988746063793
383,0.8165621452542516
384,0.8136674167997745
385,0.8099175052528221
386,0.8078688882186551
387,0.8055285305059222
388,0.8032356825125723
389,0.8014807390634153
390,0.7974352627049376
391,0.7937438975849462
392,0.792209777968299
393,0.7911633580109536
394,0.7879281615899465
395,0.7851781767195397
396,0.7855318866065879
397,0.7826393100819202
398,0.7814739559194162
399,0.7800057240121527
400,0.7759466581008099
401,0.7733457115594284
402,0.7723466988245603
403,0.7712393903371018
404,0.7679860476598716
405,0.7681373738837212
406,0.7665121608401987
407,0.7617434945840005
408,0.7604461338675984
409,0.7601526665029366
410,0.7551787174717691
411,0.7535719012934494
412,0.7530503821415354
413,0.7519042692747699
414,0.7449457049367696
415,0.7454681505458188
416,0.743390825810706
417,0.7426285294277624
418,0.7401229609299473
419,0.7372823984139535
420,0.7378120798035197
421,0.7385184658145661
422,0.7357648720683984
423,0.7312005885194182
424,0.7284315839821482
425,0.7274555103535193
426,0.7283956018208833
427,0.7299409669701268
428,0.7244184845230744
429,0.7245886444160171
430,0.7236175573506982
431,0.720244528788259
432,0.7193674942684893
433,0.7180971738824212
434,0.7170646367649876
435,0.7143580173307987
436,0.7133232659797093
437,0.7115594574987297
438,0.7102636660324442
439,0.7073447387712908
440,0.7067596084311929
441,0.7075934166649256
442,0.7069012617172225
443,0.7079152219124415
444,0.7041905031056808
445,0.7027007388823513
446,0.7010656003935675
447,0.6997995807466572
448,0.7009387626737422
449,0.7018643368109556
450,0.6998947328972052
451,0.6986463672358297
452,0.7011104770596941
453,0.6995936273122001
